Year,State,Urban_Rural,Road_Type,Weather,Vehicle_Type,Accident_Count,Fatalities,Injuries,Severity_Index
2017,Goa,Urban,NH,Rainy,Truck,3765,206,1837,5.48
2021,Uttarakhand,Rural,City,Clear,Truck,8746,1310,4515,5.42
2011,Haryana,Urban,City,Clear,Bus,22691,2415,12333,5.82
2014,Maharashtra,Urban,NH,Clear,Two-Wheeler,18692,971,10206,8.67
2021,Assam,Rural,SH,Clear,Two-Wheeler,12278,922,8222,7.08
2015,Bihar,Rural,SH,Fog,Car,23990,3451,17167,7.94
2013,Karnataka,Rural,NH,Clear,Bus,10401,1548,6590,5.58
2011,Tamil Nadu,Rural,SH,Rainy,Truck,3893,258,2921,5.09
2013,Assam,Rural,Rural,Clear,Two-Wheeler,9113,1364,5823,5.62
2019,Himachal Pradesh,Urban,City,Clear,Car,12986,1616,7111,5.75
2021,Gujarat,Rural,SH,Clear,Car,1015,53,560,8.53
2014,Uttar Pradesh,Rural,Rural,Clear,Car,7212,457,5137,8.94
2022,Goa,Urban,NH,Fog,Truck,20362,1651,12502,6.13
2024,Gujarat,Rural,City,Clear,Bus,20682,1561,10655,7.15
2021,Andhra Pradesh,Urban,SH,Clear,Car,16296,2136,7866,8.02
2014,Himachal Pradesh,Urban,Rural,Rainy,Truck,7521,506,4302,7.03
2010,Odisha,Urban,Rural,Clear,Bus,10135,1124,7500,9.42
2017,Goa,Rural,City,Rainy,Bus,10734,1542,4778,5.4
2014,West Bengal,Urban,SH,Rainy,Bus,5112,421,2787,5.94
2011,West Bengal,Rural,NH,Fog,Car,13516,1005,9021,8.02
2018,Andhra Pradesh,Rural,City,Fog,Car,5514,661,3626,9.41
2013,Tamil Nadu,Rural,Rural,Clear,Truck,5405,710,3091,8.1
2017,Arunachal Pradesh,Rural,NH,Rainy,Car,11150,928,6544,6.7
2012,Tamil Nadu,Urban,Rural,Clear,Car,17725,2245,9859,7.06
2016,Andhra Pradesh,Urban,SH,Rainy,Bus,14396,811,11493,7.44
2016,Punjab,Rural,NH,Clear,Car,9480,868,4651,6.15
2020,Maharashtra,Urban,Rural,Rainy,Car,14659,1607,10835,7.86
2021,Jharkhand,Urban,SH,Fog,Car,12820,1798,7130,7.57
2011,Uttarakhand,Urban,SH,Clear,Truck,16269,1473,6739,6.05
2023,Karnataka,Urban,Rural,Clear,Truck,23849,1588,18731,6.69
2014,Jharkhand,Rural,City,Rainy,Bus,1266,167,701,5.58
2024,Maharashtra,Rural,SH,Clear,Bus,24248,2302,14149,5.57
2017,Assam,Urban,City,Rainy,Two-Wheeler,14043,1347,5659,6.68
2024,Andhra Pradesh,Urban,City,Rainy,Bus,18951,2351,11679,8.37
2010,Andhra Pradesh,Rural,SH,Fog,Two-Wheeler,21577,1973,14560,5.28
2014,Gujarat,Rural,City,Fog,Two-Wheeler,17303,962,12390,7.87
2011,Delhi,Urban,NH,Fog,Bus,18197,1488,12387,8.64
2016,Kerala,Urban,SH,Rainy,Two-Wheeler,3179,345,2009,6.39
2014,Odisha,Urban,City,Clear,Bus,1354,186,1066,5.08
2013,Madhya Pradesh,Rural,Rural,Rainy,Two-Wheeler,7765,475,3521,8.22
2015,Himachal Pradesh,Urban,Rural,Rainy,Car,24987,1687,16749,6.29
2017,Uttar Pradesh,Urban,City,Clear,Car,4633,246,2390,6.44
2020,Rajasthan,Rural,Rural,Fog,Two-Wheeler,1207,150,599,7.26
2021,Jharkhand,Rural,Rural,Rainy,Two-Wheeler,20379,2977,14567,7.82
2021,Uttar Pradesh,Urban,SH,Rainy,Car,3240,481,2366,6.08
2023,Arunachal Pradesh,Urban,City,Fog,Car,3974,290,2838,6.59
2016,Madhya Pradesh,Urban,NH,Rainy,Bus,10938,1221,6252,9.06
2016,Uttar Pradesh,Rural,NH,Clear,Two-Wheeler,3575,278,2808,8.22
2011,Punjab,Urban,SH,Fog,Car,22497,3096,17915,7.25
2020,Andhra Pradesh,Rural,Rural,Fog,Two-Wheeler,7483,859,4916,5.33
2021,Uttar Pradesh,Rural,SH,Rainy,Car,6097,796,2857,8.75
2014,Delhi,Rural,NH,Clear,Truck,11718,925,4956,7.47
2010,Assam,Rural,Rural,Clear,Car,9681,1279,7253,7.88
2013,Tamil Nadu,Urban,City,Clear,Car,15888,1276,6628,8.19
2023,Jharkhand,Urban,Rural,Clear,Truck,12500,1390,7762,9.17
2010,Punjab,Rural,City,Clear,Truck,8373,620,3682,9.18
2022,Uttar Pradesh,Urban,Rural,Fog,Two-Wheeler,6489,645,4052,5.19
2021,Uttarakhand,Urban,City,Rainy,Bus,16998,1043,10128,8.47
2010,Madhya Pradesh,Urban,Rural,Fog,Truck,12501,1462,8903,6.52
2022,Himachal Pradesh,Urban,NH,Rainy,Two-Wheeler,16211,1063,9659,5.69
2015,Tamil Nadu,Urban,NH,Fog,Bus,21326,2741,9654,8.45
2018,Odisha,Urban,City,Rainy,Bus,24467,2251,18961,9.05
2019,Jharkhand,Urban,Rural,Fog,Bus,1113,58,854,6.92
2016,Delhi,Rural,City,Fog,Truck,8370,532,3403,7.98
2014,Punjab,Rural,City,Fog,Truck,20892,1968,16505,5.15
2019,Delhi,Urban,City,Fog,Car,10180,1128,5468,5.95
2020,Andhra Pradesh,Urban,NH,Rainy,Truck,22858,1416,10124,7.41
2022,Uttar Pradesh,Rural,NH,Rainy,Car,8730,579,5266,7.65
2013,Assam,Rural,City,Fog,Truck,18712,1992,11638,5.74
2016,Uttar Pradesh,Rural,NH,Clear,Bus,5579,336,4164,6.54
2021,Andhra Pradesh,Rural,City,Fog,Truck,2129,163,1279,6.58
2019,Bihar,Urban,City,Clear,Truck,4757,385,2877,5.04
2015,Odisha,Rural,NH,Fog,Bus,8970,984,6727,5.03
2015,Gujarat,Rural,City,Clear,Truck,16635,1900,9519,7.64
2017,Goa,Urban,SH,Clear,Two-Wheeler,20858,1555,15343,5.67
2024,Gujarat,Urban,NH,Fog,Bus,5090,519,3372,9.24
2016,Andhra Pradesh,Urban,Rural,Fog,Two-Wheeler,14654,1975,6053,5.72
2022,Uttarakhand,Urban,City,Fog,Bus,11585,1418,7324,6.76
2011,Odisha,Urban,Rural,Clear,Two-Wheeler,24721,2776,15774,9.38
2017,Himachal Pradesh,Rural,City,Clear,Two-Wheeler,17463,2136,13069,9.17
2015,Telangana,Rural,SH,Fog,Truck,13964,1920,6505,7.27
2015,Bihar,Urban,Rural,Clear,Two-Wheeler,23859,1853,10161,9.27
2016,Madhya Pradesh,Rural,SH,Fog,Bus,14476,1868,7504,6.95
2012,Jharkhand,Urban,City,Clear,Two-Wheeler,6685,446,3778,9.12
2019,Himachal Pradesh,Urban,Rural,Clear,Bus,15090,1631,6429,7.14
2014,Rajasthan,Urban,Rural,Rainy,Car,18321,2022,11749,8.23
2011,Delhi,Urban,SH,Fog,Truck,7035,686,3038,7.85
2013,Goa,Rural,Rural,Clear,Two-Wheeler,12110,1197,7573,5.2
2010,Kerala,Urban,Rural,Clear,Two-Wheeler,22791,2505,13251,7.39
2012,Tamil Nadu,Rural,NH,Rainy,Bus,24713,2228,18795,5.11
2011,Arunachal Pradesh,Urban,City,Rainy,Truck,5450,676,2651,8.96
2018,Karnataka,Urban,NH,Fog,Bus,2989,268,1252,6.56
2011,Maharashtra,Rural,Rural,Clear,Bus,24966,1605,13976,6.42
2023,Karnataka,Rural,SH,Rainy,Bus,11243,1537,6650,6.85
2011,Bihar,Rural,City,Fog,Two-Wheeler,8126,794,5066,5.23
2023,Himachal Pradesh,Rural,Rural,Fog,Two-Wheeler,15441,2019,8382,8.75
2018,Karnataka,Rural,City,Clear,Bus,22945,2648,10416,7.41
2012,Chhattisgarh,Rural,City,Clear,Truck,5783,649,3329,6.47
2010,Bihar,Urban,City,Rainy,Two-Wheeler,10604,559,4381,6.76
2015,Rajasthan,Rural,Rural,Rainy,Bus,23171,2410,12978,9.46
2011,Telangana,Urban,SH,Clear,Two-Wheeler,1423,125,604,8.69
2016,Tamil Nadu,Rural,NH,Clear,Two-Wheeler,12041,1525,9429,8.63
2010,Jharkhand,Urban,SH,Fog,Bus,6562,855,4815,5.4
2010,Jharkhand,Rural,NH,Rainy,Bus,6862,648,2874,7.67
2023,Maharashtra,Urban,SH,Fog,Truck,7673,528,4058,8.91
2013,Himachal Pradesh,Urban,NH,Clear,Two-Wheeler,23654,1504,16508,5.85
2022,Maharashtra,Rural,SH,Rainy,Car,16052,1342,10541,7.82
2010,Arunachal Pradesh,Rural,SH,Clear,Bus,2043,259,1550,7.44
2022,Punjab,Urban,NH,Rainy,Two-Wheeler,18981,1625,14347,7.55
2021,West Bengal,Urban,City,Fog,Car,14084,2109,7357,5.83
2024,West Bengal,Urban,Rural,Clear,Two-Wheeler,4862,691,3775,8.88
2020,Odisha,Urban,SH,Clear,Two-Wheeler,17212,2176,12629,8.33
2013,Madhya Pradesh,Urban,Rural,Clear,Truck,21644,2974,15162,6.01
2016,Himachal Pradesh,Urban,City,Fog,Truck,19484,2875,15565,6.18
2012,Odisha,Rural,SH,Fog,Truck,17977,1917,12864,8.52
2021,Tamil Nadu,Rural,SH,Rainy,Truck,9655,1288,6373,8.77
2018,Arunachal Pradesh,Urban,NH,Clear,Truck,13504,1474,5860,8.76
2017,Punjab,Urban,City,Rainy,Bus,1775,185,880,6.99
2024,Madhya Pradesh,Rural,City,Clear,Car,5737,746,4023,7.24
2012,Uttar Pradesh,Rural,Rural,Rainy,Bus,10209,1250,5925,7.25
2021,West Bengal,Rural,NH,Rainy,Car,4540,502,2941,8.89
2023,Maharashtra,Rural,SH,Rainy,Car,13628,723,9593,8.86
2019,Kerala,Urban,NH,Clear,Car,12581,1881,6069,7.5
2022,Assam,Rural,City,Clear,Bus,23779,1851,17465,8.17
2011,Madhya Pradesh,Rural,Rural,Rainy,Car,12570,1363,5852,6.51
2012,Chhattisgarh,Urban,NH,Rainy,Two-Wheeler,15966,1798,11385,5.34
2016,Chhattisgarh,Urban,SH,Rainy,Car,11948,845,7522,9.41
2022,Madhya Pradesh,Urban,SH,Rainy,Truck,24282,2256,13744,7.73
2017,Punjab,Rural,NH,Rainy,Bus,16083,1414,11415,8.22
2010,Andhra Pradesh,Rural,SH,Fog,Two-Wheeler,6249,525,3607,8.31
2022,Delhi,Rural,City,Fog,Two-Wheeler,9232,1008,7047,8.38
2019,Rajasthan,Rural,City,Clear,Bus,19992,1152,13276,5.29
2010,Telangana,Urban,Rural,Rainy,Car,9682,1347,5014,6.41
2022,Haryana,Urban,City,Fog,Bus,24691,3039,17324,7.72
2015,Uttarakhand,Rural,Rural,Clear,Car,16656,1166,12430,7.44
2017,Jharkhand,Rural,SH,Fog,Bus,695,62,496,8.52
2012,Uttar Pradesh,Rural,City,Fog,Truck,16398,1650,7030,7.33
2020,Chhattisgarh,Urban,City,Fog,Truck,2603,385,1805,7.55
2017,Assam,Urban,City,Fog,Truck,20655,1395,10305,7.3
2019,Tamil Nadu,Urban,City,Fog,Bus,2463,299,1951,7.55
2016,Maharashtra,Rural,SH,Fog,Bus,15699,1386,6442,5.98
2021,Gujarat,Rural,NH,Clear,Bus,6209,846,4189,8.91
2019,Madhya Pradesh,Urban,NH,Clear,Bus,9841,1259,5949,7.64
2024,Bihar,Rural,Rural,Rainy,Bus,5379,324,2976,5.8
2011,Kerala,Urban,SH,Rainy,Car,22768,2476,10047,8.69
2017,Punjab,Urban,Rural,Clear,Two-Wheeler,11953,1287,6199,8.44
2020,Himachal Pradesh,Urban,Rural,Fog,Bus,24654,2018,13649,6.57
2021,West Bengal,Urban,Rural,Clear,Car,16295,2061,11386,6.99
2016,Maharashtra,Urban,City,Rainy,Car,615,49,455,9.15
2014,Uttar Pradesh,Urban,Rural,Rainy,Bus,4177,456,1878,5.21
2021,Maharashtra,Urban,City,Clear,Truck,13773,882,10710,7.76
2013,Tamil Nadu,Rural,NH,Fog,Truck,5928,786,3427,8.24
2016,Telangana,Rural,Rural,Rainy,Truck,18997,1459,14761,7.08
2014,Kerala,Rural,NH,Fog,Car,16172,1668,7749,8.05
2017,Himachal Pradesh,Rural,SH,Rainy,Truck,21555,2589,14991,6.64
2023,Punjab,Rural,City,Fog,Bus,11972,1486,6038,6.55
2015,Punjab,Urban,Rural,Fog,Bus,6656,708,4462,9.16
2024,Delhi,Rural,City,Rainy,Truck,10265,1461,7177,8.86
2017,Chhattisgarh,Urban,NH,Fog,Car,23342,3404,14026,5.98
2011,Odisha,Urban,Rural,Clear,Car,2337,162,1192,7.78
2021,Chhattisgarh,Rural,City,Fog,Truck,4739,572,2042,7.95
2013,Jharkhand,Urban,SH,Fog,Bus,14961,809,10072,8.9
2010,Goa,Rural,SH,Rainy,Two-Wheeler,13700,994,10402,6.93
2020,Maharashtra,Rural,SH,Fog,Two-Wheeler,14983,863,6159,6.65
2021,Chhattisgarh,Urban,SH,Clear,Truck,23022,2845,10405,8.16
2019,Arunachal Pradesh,Urban,City,Fog,Two-Wheeler,12009,1769,8383,6.84
2016,Haryana,Rural,SH,Rainy,Truck,17701,1727,8290,8.99
2011,Goa,Urban,City,Clear,Car,14566,1140,9893,5.48
2012,Uttar Pradesh,Rural,Rural,Clear,Truck,6159,618,3436,9.05
2018,Uttar Pradesh,Rural,NH,Clear,Truck,10711,1387,6939,9.47
2015,Arunachal Pradesh,Rural,Rural,Rainy,Truck,16127,968,9991,6.96
2010,Haryana,Rural,City,Fog,Bus,863,86,429,6.39
2017,Chhattisgarh,Rural,NH,Fog,Two-Wheeler,24992,3330,16540,6.76
2023,Andhra Pradesh,Rural,NH,Clear,Truck,5826,581,2556,8.1
2013,Delhi,Urban,NH,Clear,Car,24862,3066,17488,6.69
2017,Haryana,Rural,SH,Clear,Car,601,70,383,6.64
2023,Himachal Pradesh,Rural,Rural,Fog,Car,22114,2186,15063,9.22
2016,Haryana,Rural,SH,Rainy,Two-Wheeler,19413,2372,12468,7.38
2023,Tamil Nadu,Rural,City,Fog,Car,10422,1265,6033,9.18
2011,Goa,Urban,NH,Rainy,Two-Wheeler,2178,129,1161,8.29
2017,Bihar,Urban,Rural,Fog,Two-Wheeler,16935,2400,10298,5.93
2023,Punjab,Urban,Rural,Clear,Bus,23901,1605,16587,7.83
2017,Madhya Pradesh,Urban,SH,Rainy,Two-Wheeler,7903,1037,5477,8.41
2011,Madhya Pradesh,Urban,NH,Clear,Truck,24978,3270,15496,7.93
2012,Maharashtra,Rural,SH,Rainy,Car,19862,2352,14054,8.39
2023,Goa,Urban,City,Rainy,Two-Wheeler,21633,1551,12058,8.12
2018,Chhattisgarh,Rural,City,Fog,Car,21383,1532,14258,8.06
2010,Himachal Pradesh,Urban,City,Fog,Truck,2339,142,1605,5.69
2014,Delhi,Rural,City,Fog,Bus,20401,1286,14502,6.37
2011,Assam,Urban,City,Clear,Car,21873,3123,14228,8.8
2017,Delhi,Urban,Rural,Rainy,Truck,6691,359,4771,5.63
2020,Assam,Rural,City,Clear,Two-Wheeler,23825,3331,13982,8.59
2018,Goa,Rural,NH,Fog,Truck,5479,579,3981,8.26
2010,Odisha,Rural,Rural,Clear,Car,8157,932,6396,8.11
2017,Andhra Pradesh,Urban,City,Clear,Bus,2240,308,1661,7.6
2023,Arunachal Pradesh,Urban,SH,Fog,Two-Wheeler,1736,118,1373,8.28
2014,Kerala,Urban,NH,Fog,Bus,4628,416,1888,5.89
2012,Punjab,Urban,Rural,Fog,Two-Wheeler,16803,1583,8681,5.03
2018,Arunachal Pradesh,Rural,City,Rainy,Two-Wheeler,3201,260,2491,5.94
2018,Delhi,Urban,City,Clear,Bus,5264,367,3457,5.01
2019,Andhra Pradesh,Rural,City,Clear,Truck,2860,154,1546,8.68
2015,West Bengal,Rural,SH,Fog,Car,12254,1258,5753,9.15
2016,Tamil Nadu,Urban,NH,Rainy,Car,13904,1648,6503,9.0
2019,Arunachal Pradesh,Rural,City,Clear,Bus,17497,1236,9323,6.59
2021,Madhya Pradesh,Rural,City,Clear,Truck,12218,1013,8836,7.25
2011,Delhi,Urban,City,Rainy,Car,13631,1015,10598,8.32
2020,West Bengal,Rural,NH,Clear,Bus,755,86,497,7.82
2010,Chhattisgarh,Rural,City,Clear,Two-Wheeler,4823,681,3393,8.89
2023,Madhya Pradesh,Rural,NH,Clear,Truck,7127,446,2939,9.5
2013,Telangana,Rural,NH,Fog,Truck,22872,2315,10426,5.96
2013,Rajasthan,Urban,SH,Clear,Two-Wheeler,16898,981,10866,5.28
2017,Delhi,Rural,SH,Rainy,Two-Wheeler,13379,1874,7111,6.35
2015,Arunachal Pradesh,Urban,Rural,Rainy,Car,6145,487,3556,8.51
2015,Tamil Nadu,Urban,Rural,Fog,Two-Wheeler,4619,332,2864,8.67
2023,Gujarat,Rural,Rural,Fog,Truck,7783,1065,4821,5.71
2013,Chhattisgarh,Urban,City,Rainy,Car,11241,1244,4583,9.27
2021,Madhya Pradesh,Rural,NH,Clear,Truck,19565,2034,12921,7.13
2023,Arunachal Pradesh,Rural,Rural,Fog,Car,17481,2368,9229,5.59
2021,West Bengal,Rural,SH,Rainy,Car,16502,889,6714,8.07
2019,Haryana,Urban,City,Fog,Car,2531,222,1235,5.53
2010,Haryana,Urban,NH,Rainy,Bus,19565,1091,14241,6.66
2021,Uttar Pradesh,Urban,SH,Fog,Two-Wheeler,20918,1346,9405,5.88
2016,Madhya Pradesh,Rural,NH,Fog,Truck,20041,2244,9122,8.51
2015,Rajasthan,Urban,Rural,Rainy,Car,13642,889,10298,5.91
2019,Haryana,Rural,City,Fog,Two-Wheeler,4971,350,3665,7.38
2021,Bihar,Urban,NH,Clear,Two-Wheeler,20735,2085,13365,7.67
2023,Tamil Nadu,Rural,NH,Clear,Car,19724,986,13006,9.22
2017,West Bengal,Urban,Rural,Fog,Bus,5259,475,4121,8.1
2013,Uttarakhand,Rural,City,Rainy,Two-Wheeler,21001,2786,13944,8.03
2012,West Bengal,Urban,SH,Rainy,Truck,23774,2658,12061,6.0
2022,Goa,Urban,NH,Clear,Truck,587,68,317,7.0
2017,Bihar,Rural,SH,Fog,Truck,15524,1283,8128,9.13
2014,Punjab,Urban,Rural,Fog,Truck,19891,2173,13862,5.46
2016,Odisha,Rural,NH,Clear,Car,13786,1760,7611,7.76
2023,West Bengal,Rural,City,Rainy,Car,7773,629,5361,8.23
2012,Madhya Pradesh,Rural,Rural,Rainy,Car,12833,905,8762,6.47
2016,Gujarat,Rural,City,Clear,Bus,9000,811,6545,6.26
2018,Uttarakhand,Urban,City,Fog,Two-Wheeler,24118,2143,13415,7.37
2020,Jharkhand,Rural,NH,Fog,Truck,8277,482,4825,8.87
2018,West Bengal,Urban,Rural,Clear,Truck,3763,524,2665,8.55
2023,Telangana,Rural,City,Rainy,Two-Wheeler,23762,1977,12239,8.32
2015,Tamil Nadu,Rural,Rural,Clear,Car,4796,395,3833,9.42
2020,Arunachal Pradesh,Rural,SH,Fog,Bus,19494,1004,8177,8.21
2012,Gujarat,Rural,City,Rainy,Bus,23741,2404,12343,5.91
2015,Madhya Pradesh,Urban,NH,Rainy,Car,13397,698,7315,8.05
2019,Rajasthan,Rural,City,Fog,Two-Wheeler,24071,2419,11486,9.36
2021,Uttar Pradesh,Rural,Rural,Rainy,Two-Wheeler,10872,1433,6879,7.16
2010,Assam,Rural,NH,Clear,Two-Wheeler,2885,271,1652,6.76
2011,Arunachal Pradesh,Rural,NH,Clear,Two-Wheeler,17867,1305,10480,9.14
2018,Kerala,Rural,SH,Clear,Truck,19952,2119,15667,9.37
2018,Himachal Pradesh,Rural,NH,Rainy,Bus,17491,1991,7515,6.34
2016,Assam,Urban,SH,Rainy,Car,24937,1623,15032,5.6
2011,Assam,Urban,SH,Clear,Bus,9265,512,4890,6.79
2011,Punjab,Urban,SH,Fog,Car,14476,2060,10835,8.05
2013,Maharashtra,Rural,NH,Rainy,Truck,20350,2989,8287,5.91
2016,Kerala,Urban,City,Clear,Two-Wheeler,9040,1035,6003,8.84
2018,Bihar,Rural,NH,Clear,Truck,12644,1724,5158,8.97
2021,Chhattisgarh,Rural,City,Rainy,Two-Wheeler,6216,583,3443,6.41
2021,Chhattisgarh,Urban,NH,Fog,Truck,24500,2884,14907,9.38
2012,Karnataka,Rural,Rural,Rainy,Truck,18966,1577,12453,8.52
2024,Haryana,Urban,Rural,Clear,Bus,9992,1356,7860,5.86
2024,West Bengal,Urban,Rural,Fog,Car,2084,226,1226,7.45
2018,Delhi,Urban,Rural,Rainy,Car,14219,1584,6838,5.31
2024,Bihar,Urban,NH,Fog,Two-Wheeler,6809,439,2908,7.14
2010,Karnataka,Rural,SH,Clear,Truck,3483,242,2714,7.24
2010,Bihar,Rural,NH,Rainy,Truck,17356,2204,8752,7.96
2012,Gujarat,Rural,City,Clear,Bus,14655,1389,11002,5.81
2016,Karnataka,Urban,Rural,Fog,Bus,16545,1914,11186,5.89
2018,Andhra Pradesh,Rural,NH,Fog,Truck,6610,453,3801,7.46
2023,Punjab,Urban,City,Fog,Two-Wheeler,22893,3184,16664,6.29
2023,Andhra Pradesh,Urban,SH,Fog,Car,1453,173,726,5.13
2020,Chhattisgarh,Rural,NH,Rainy,Truck,3320,440,1548,6.99
2019,Delhi,Urban,City,Rainy,Truck,15028,1233,8975,6.09
2022,Arunachal Pradesh,Rural,Rural,Fog,Bus,8458,799,3660,8.7
2018,Bihar,Urban,NH,Clear,Bus,9242,715,6310,8.8
2016,Haryana,Rural,City,Clear,Two-Wheeler,13034,1951,7566,9.3
2012,Karnataka,Urban,SH,Clear,Car,10995,1018,8190,5.29
2021,Madhya Pradesh,Urban,Rural,Rainy,Truck,23636,1718,13335,7.24
2022,Bihar,Urban,SH,Clear,Bus,14189,1313,7322,7.16
2021,Uttarakhand,Rural,SH,Clear,Bus,22562,1714,12599,6.21
2021,Maharashtra,Urban,NH,Fog,Car,1586,183,652,8.76
2014,Karnataka,Rural,City,Fog,Two-Wheeler,1884,136,1183,7.57
2014,Rajasthan,Rural,SH,Rainy,Car,9652,910,4444,8.44
2023,Punjab,Rural,NH,Clear,Two-Wheeler,773,56,572,9.0
2023,Delhi,Urban,Rural,Rainy,Two-Wheeler,5003,353,2321,7.5
2017,Telangana,Rural,Rural,Rainy,Truck,10755,1432,7396,7.48
2011,Tamil Nadu,Urban,NH,Rainy,Bus,15535,989,11324,6.92
2019,West Bengal,Rural,SH,Fog,Car,19043,1743,8965,7.69
2016,Himachal Pradesh,Rural,City,Rainy,Bus,1303,123,548,6.87
2018,Tamil Nadu,Rural,City,Fog,Truck,4344,416,2554,7.12
2016,West Bengal,Rural,City,Fog,Car,16988,1033,13118,5.39
2021,Arunachal Pradesh,Rural,NH,Rainy,Car,23757,3046,14493,7.94
2024,Himachal Pradesh,Rural,SH,Rainy,Car,8785,953,5148,6.96
2015,Karnataka,Rural,NH,Fog,Bus,23777,1549,15344,8.61
2010,Madhya Pradesh,Rural,City,Clear,Car,8965,1320,4384,8.86
2018,Rajasthan,Rural,NH,Clear,Bus,24166,3283,15109,8.24
2016,Delhi,Rural,Rural,Fog,Bus,17635,2391,10620,7.67
2021,Kerala,Urban,SH,Fog,Bus,20227,1050,9659,6.4
2016,Haryana,Rural,NH,Fog,Car,10853,907,4778,8.68
2023,Telangana,Rural,City,Rainy,Car,6096,368,4379,8.26
2024,Bihar,Rural,SH,Fog,Car,19733,1490,14224,7.44
2018,Odisha,Urban,Rural,Rainy,Two-Wheeler,4967,522,2002,5.62
2020,Uttar Pradesh,Urban,City,Clear,Bus,19840,2040,9539,7.98
2011,Rajasthan,Rural,Rural,Clear,Truck,21394,1166,13249,8.03
2013,Assam,Urban,City,Rainy,Bus,24786,2676,18381,9.0
2018,Chhattisgarh,Rural,SH,Fog,Truck,16772,1533,11771,9.23
2014,Jharkhand,Urban,City,Fog,Car,16373,1820,12587,5.66
2011,Haryana,Rural,SH,Clear,Bus,14115,1070,7519,8.93
2017,Andhra Pradesh,Rural,Rural,Clear,Two-Wheeler,20595,2818,16367,6.79
2019,Telangana,Rural,SH,Rainy,Car,20715,2094,13422,7.24
2015,Telangana,Urban,NH,Rainy,Car,1053,65,723,7.02
2021,Haryana,Urban,City,Clear,Truck,20196,2005,11778,6.39
2013,Andhra Pradesh,Rural,NH,Fog,Truck,15996,1662,6842,7.89
2022,Rajasthan,Urban,Rural,Clear,Truck,10651,620,5478,5.87
2020,Assam,Urban,NH,Rainy,Truck,7290,575,4560,6.74
2023,Andhra Pradesh,Rural,Rural,Rainy,Bus,9790,852,5709,8.39
2015,Uttar Pradesh,Rural,City,Rainy,Truck,19002,2557,8965,8.85
2022,Himachal Pradesh,Urban,NH,Fog,Car,14021,1507,9515,8.94
2021,Chhattisgarh,Rural,City,Clear,Two-Wheeler,19329,1420,12419,5.92
2010,Punjab,Urban,City,Fog,Car,24152,1438,10937,9.05
2017,Haryana,Urban,SH,Fog,Bus,4413,492,2582,8.6
2020,Jharkhand,Rural,NH,Rainy,Truck,4449,470,2982,8.65
2010,Chhattisgarh,Rural,City,Clear,Truck,8747,1076,5032,7.12
2012,Rajasthan,Urban,Rural,Fog,Car,10260,1528,5340,5.36
2012,Maharashtra,Rural,NH,Clear,Truck,18085,1203,12701,8.39
2014,Andhra Pradesh,Rural,City,Rainy,Car,15898,826,8792,8.14
2011,Uttarakhand,Rural,NH,Fog,Truck,20427,1958,15960,6.16
2012,Goa,Urban,SH,Clear,Bus,8226,460,5089,5.12
2012,Tamil Nadu,Rural,NH,Fog,Truck,3127,271,1715,5.1
2017,Kerala,Urban,NH,Rainy,Bus,10077,657,4111,7.24
2016,Rajasthan,Urban,City,Fog,Bus,13464,810,10623,9.2
2024,Goa,Rural,SH,Fog,Truck,8157,589,6311,5.63
2010,Assam,Urban,Rural,Clear,Car,21070,2384,14673,7.51
2021,Maharashtra,Rural,City,Rainy,Car,7998,1162,5552,6.35
2023,Jharkhand,Rural,City,Rainy,Car,19026,2789,13565,7.28
2022,West Bengal,Rural,City,Fog,Bus,22756,2151,12659,8.02
2017,Bihar,Urban,Rural,Fog,Truck,814,113,624,6.45
2021,Karnataka,Urban,SH,Fog,Bus,6465,712,4212,9.06
2011,Delhi,Urban,Rural,Rainy,Bus,14298,1616,6412,8.62
2017,West Bengal,Rural,NH,Rainy,Truck,7837,1137,3175,8.5
2013,Delhi,Urban,NH,Clear,Car,23872,2504,15273,7.15
2012,Uttar Pradesh,Urban,City,Rainy,Two-Wheeler,17441,1718,12412,8.6
2023,Telangana,Rural,NH,Fog,Bus,10806,1405,6344,7.96
2015,Uttar Pradesh,Urban,Rural,Fog,Two-Wheeler,14741,1713,7603,8.27
2013,Kerala,Urban,SH,Clear,Car,14098,886,9220,6.65
2024,Chhattisgarh,Urban,City,Rainy,Two-Wheeler,6901,762,3295,5.98
2013,Tamil Nadu,Rural,City,Clear,Two-Wheeler,10489,1409,7129,9.27
2018,Uttar Pradesh,Urban,NH,Fog,Bus,13610,1584,8182,7.05
2015,Madhya Pradesh,Urban,Rural,Clear,Two-Wheeler,16192,2332,9211,9.09
2018,Delhi,Rural,City,Rainy,Car,19013,1013,14539,7.78
2017,Uttarakhand,Urban,City,Clear,Truck,23839,1578,18535,7.69
2021,Jharkhand,Rural,Rural,Clear,Two-Wheeler,10499,1507,4725,7.27
2015,Karnataka,Urban,SH,Fog,Bus,3532,282,2723,7.82
2013,Andhra Pradesh,Rural,NH,Rainy,Two-Wheeler,8076,983,6336,6.7
2023,Assam,Urban,Rural,Fog,Bus,10600,1479,6346,9.44
2012,Arunachal Pradesh,Rural,NH,Clear,Two-Wheeler,17890,2458,14010,5.06
2010,Bihar,Rural,City,Rainy,Bus,13539,1365,9185,5.58
2017,Rajasthan,Rural,City,Rainy,Bus,7184,370,3485,9.44
2011,Jharkhand,Rural,NH,Clear,Bus,2640,151,1111,8.12
